,Model,PR-AUC,ROC-AUC,F1,MCC
0,Logistic Regression,0.7205333108650614,0.9184741665261145,0.6096997690531177,0.5742172420513033
2,Random Forest,0.7165795048838196,0.9296143250688705,0.5181818181818182,0.5335281007879831
1,Support Vector Machine,0.7133142974139003,0.9082953842694104,0.631578947368421,0.5832520178337675
