,Model,PR-AUC,ROC-AUC,F1,MCC
2,Random Forest,0.6729305907221159,0.9185500646539607,0.4413145539906103,0.45783129155336655
1,Support Vector Machine,0.6711974962015734,0.8908135154888401,0.6133333333333333,0.5633362729402895
0,Logistic Regression,0.6571788596231983,0.9067633665036263,0.5288270377733598,0.49300352062303254
